product_uom_id,model_file,product_id,sku,product_name,uom,category_l1,category_l2,signal_group,use_lag_regressor,lag_mean,ma_blended,ma_yhat_json,backtest_mape,backtest_accuracy
035-001__PIEZA,model_035-001__PIEZA.json,035-001,035-001,HARINA PERLA 907 GR (10),PIEZA,COMESTIBLES,HARINAS,high_noise,True,491.25,False,"[414.0, 414.0]",0.048538855954150584,0.9514611440458494
066-008__PIEZA,model_066-008__PIEZA.json,066-008,066-008,TE MANZANILLA MC C/25 PZA (24),PIEZA,COMESTIBLES,TES,high_noise,True,12.75,True,"[15.0, 15.0]",0.04969944598794385,0.9503005540120562
068-004__PIEZA,model_068-004__PIEZA.json,068-004,068-004,VINAGRE MANZANA CIERVO 4LTS (4),PIEZA,COMESTIBLES,VINAGRES,high_noise,True,92.5,True,"[92.5, 92.5]",0.05025075810077461,0.9497492418992254
048-005__PIEZA,model_048-005__PIEZA.json,048-005,048-005,MOLE DOÑA MARIA 430 GR. (12),PIEZA,COMESTIBLES,MOLES,sparse_or_intermittent,False,,False,"[7.75, 7.75]",0.05079035599999996,0.9492096440000001
001-009__PIEZA,model_001-009__PIEZA.json,001-009,001-009,ACEITE CRISTAL 20L BIDON,PIEZA,COMESTIBLES,ACEITES COMESTIBLES,high_noise,True,161.5,False,"[161.5, 161.5]",0.05099453101011822,0.9490054689898818
027-015__PIEZA,model_027-015__PIEZA.json,027-015,027-015,CHILE ROJO TRITURADO PRAGNA 385G (12),PIEZA,COMESTIBLES,ESPECIAS/EXTRACTOS/COLORE,high_noise,True,16.0,False,"[13.375, 13.375]",0.0555534035135814,0.9444465964864186
056-006__PIEZA,model_056-006__PIEZA.json,056-006,056-006,PURE TOMATE FUERTE COND. BRICK 1 KG (12),PIEZA,COMESTIBLES,PURES TOMATES,high_noise,True,124.75,False,"[124.75, 124.75]",0.06280840629745446,0.9371915937025456
048-018__PIEZA,model_048-018__PIEZA.json,048-018,048-018,ACHIOTE ANITA 1 KG (12),PIEZA,COMESTIBLES,MOLES,high_noise,True,40.5,True,"[42.75, 42.75]",0.06425061119713157,0.9357493888028684
032-002__PIEZA,model_032-002__PIEZA.json,032-002,032-002,ATE MEMBRILLO COSTEÑA 700G (12),PIEZA,COMESTIBLES,FRUTAS ALMIBAR,high_noise,True,27.5,True,"[27.5, 27.5]",0.07115895758104582,0.9288410424189542
006-059__PIEZA,model_006-059__PIEZA.json,006-059,006-059,ARROZ SUPER EXTRA NILO 906 GR (10),PIEZA,COMESTIBLES,ARROZ GRANO,high_noise,True,1151.5,False,"[1151.5, 1151.5]",0.07661251534119866,0.9233874846588014
060-012__PIEZA,model_060-012__PIEZA.json,060-012,060-012,SALSA HERDEZ CASERA ROJA 210 GR (48),PIEZA,COMESTIBLES,SALSAS,sparse_or_intermittent,False,,False,"[18.0, 18.0]",0.07847210150559795,0.9215278984944021
037-123__PIEZA,model_037-123__PIEZA.json,037-123,037-123,NECTAR MANGO JUMEX 237 ML (24) BRICK,PIEZA,COMESTIBLES,JUGOS/NECTARES Y VERDURAS,trend_and_seasonal,True,510.0,True,"[503.875, 503.875]",0.0807691903852167,0.9192308096147833
022-044__PIEZA,model_022-044__PIEZA.json,022-044,022-044,ZUKO SANDIA C/8/13G (12),PIEZA,COMESTIBLES,CONCENTRADOS P/AGUA POLVO,seasonal_dominant,True,20.75,True,"[17.166666666666668, 17.166666666666668]",0.08283597146507396,0.9171640285349261
059-004__PIEZA,model_059-004__PIEZA.json,059-004,059-004,SALSA BECHAMEL KNORR 4 KG. (2),PIEZA,COMESTIBLES,SALSA PARA GUISAR,high_noise,True,5.5,False,"[4.875, 4.875]",0.08534571328654489,0.9146542867134551
034-012__PIEZA,model_034-012__PIEZA.json,034-012,034-012,GELATINA AGUA UVA D'GARI 720G (10),PIEZA,COMESTIBLES,GELATINAS/FLANES,high_noise,True,48.25,False,"[51.25, 51.25]",0.08642544829347004,0.9135745517065299
035-045__PIEZA,model_035-045__PIEZA.json,035-045,035-045,HARINA P/PASTEL VAINILLA FRAN.BETTY 375G,PIEZA,COMESTIBLES,HARINAS,seasonal_dominant,True,19.75,True,"[30.916666666666668, 30.916666666666668]",0.08702069788752964,0.9129793021124704
067-072__PIEZA,model_067-072__PIEZA.json,067-072,067-072,TOMATE ENT.PELADO S.MIGUEL 3.0K POUCH(6),PIEZA,COMESTIBLES,VEGETALES ENLATADOS,high_noise,True,44.25,False,"[44.25, 44.25]",0.08850471002336831,0.9114952899766317
040-002__PIEZA,model_040-002__PIEZA.json,040-002,040-002,LECHE ULTRA PREMIUM ENTERA LALA 1L (12),PIEZA,COMESTIBLES,LECHE LIQUIDA,high_noise,True,1308.75,False,"[1308.75, 1308.75]",0.08872567039428741,0.9112743296057126
023-034__PIEZA,model_023-034__PIEZA.json,023-034,023-034,KNORR SUIZA 100G (24),PIEZA,COMESTIBLES,CONSOMES,high_noise,True,44.75,True,"[47.375, 47.375]",0.09048503183100008,0.9095149681689999
052-104__PIEZA,model_052-104__PIEZA.json,052-104,052-104,PASTA YEMINA ESTRELLA NO.1 200GR (24),PIEZA,COMESTIBLES,PASTAS,high_noise,True,21.25,False,"[21.25, 21.25]",0.09218888744856671,0.9078111125514333
085-006__PIEZA,model_085-006__PIEZA.json,085-006,085-006,FABULOSO FRESCO AMANECER 1LTO(12),PIEZA,LIMPIEZA Y CUIDADO HOGAR,LIMP. GRANDES SUPERFICIES,high_noise,True,6.0,True,"[3.75, 3.75]",0.09265618352444764,0.9073438164755524
037-079__PIEZA,model_037-079__PIEZA.json,037-079,037-079,-JUGO NARANJA CITRUS TAMPICO 4L (6),PIEZA,COMESTIBLES,JUGOS/NECTARES Y VERDURAS,high_noise,True,10.5,False,"[11.5, 11.5]",0.0940531934083894,0.9059468065916106
027-040__PIEZA,model_027-040__PIEZA.json,027-040,027-040,PIMIENTA NEGRA MOLIDO GRUESA MC 453G (6),PIEZA,COMESTIBLES,ESPECIAS/EXTRACTOS/COLORE,high_noise,True,7.75,False,"[5.5, 5.5]",0.09541172266051887,0.9045882773394811
060-004__PIEZA,model_060-004__PIEZA.json,060-004,060-004,SALSA BOTANERA ROJA 4LTS (6),PIEZA,COMESTIBLES,SALSAS,high_noise,True,41.0,True,"[37.875, 37.875]",0.0961521465086,0.9038478534914
067-051__PIEZA,model_067-051__PIEZA.json,067-051,067-051,CORAZONES ALCACHOFA SAN MIGUEL 400GR(12),PIEZA,COMESTIBLES,VEGETALES ENLATADOS,high_noise,True,10.5,False,"[20.25, 20.25]",0.09735271633941948,0.9026472836605806
052-054__PIEZA,model_052-054__PIEZA.json,052-054,052-054,PASTA YEMINA FIDEO MED.200 GR (24),PIEZA,COMESTIBLES,PASTAS,mixed_signal,True,339.25,True,"[339.25, 339.25]",0.09735762772981701,0.902642372270183
001-025__PIEZA,model_001-025__PIEZA.json,001-025,001-025,ACEITE OLIVA CARBONELL 950 ML (12) LATA,PIEZA,COMESTIBLES,ACEITES COMESTIBLES,high_noise,True,22.25,True,"[17.0, 17.0]",0.09771422375873898,0.902285776241261
006-080__PIEZA,model_006-080__PIEZA.json,006-080,006-080,ARROZ SANTA ISABEL 907 GR (10),PIEZA,COMESTIBLES,ARROZ GRANO,high_noise,True,374.0,False,"[362.625, 362.625]",0.10000336928926196,0.8999966307107381
001-051__PIEZA,model_001-051__PIEZA.json,001-051,001-051,ACEITE OLIVA PURO INES 1L (12),PIEZA,COMESTIBLES,ACEITES COMESTIBLES,high_noise,True,10.25,False,"[11.5, 11.5]",0.10127242978090933,0.8987275702190907
018-049__PIEZA,model_018-049__PIEZA.json,018-049,018-049,CHILE RAJAS EL MEXICANO 2.8K (6),PIEZA,COMESTIBLES,CHILES CONSERVA,high_noise,True,8.75,False,"[8.875, 8.875]",0.10488040822487374,0.8951195917751262
059-021__PIEZA,model_059-021__PIEZA.json,059-021,059-021,SALSA PREGO CAMPBELL'S 680GR (12),PIEZA,COMESTIBLES,SALSA PARA GUISAR,high_noise,True,7.5,True,"[9.375, 9.375]",0.10539161609582637,0.8946083839041736
